,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,顧客ID(注文),注文ID,注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額,純売り上げ
0,C00001,2022-07-30,鈴木 葵,customer00001@example.jp,北海道,函館市,個人,広告検索,ブロンズ,有,500～800万円,C00001,O000052,2025-10-25,発送済み,ウェブ,請求書払い,北海道,,524.44,0.0,0.0,524.44,524.44
1,C00002,2025-01-20,渡辺 悠真,customer00002@example.jp,北海道,旭川市,個人,SNS,ブロンズ,有,"800～1,200万円",C00002,O000014O000077O000155O000624,2024-11-132025-11-012025-04-062024-03-12,配達完了配達完了配達完了発送済み,モバイルアプリウェブモバイルアプリウェブ,スマホ決済銀行振込クレジットカードクレジットカード,北海道北海道北海道北海道,FREESHIPWELCOME10FREESHIP,2814.3199999999997,14.56,5.9,2805.66,2793.8599999999997
2,C00003,2023-03-08,中村 陽翔,customer00003@example.jp,神奈川県,横浜市,個人,広告検索,シルバー,無,"800～1,200万円",,,,,,,,,,,,,
3,C00004,2025-10-09,山本 葵,customer00004@example.jp,神奈川県,藤沢市,個人,広告検索,ブロンズ,有,300万円未満,C00004,O000069O000537,2025-01-102025-02-26,配達完了配達完了,ウェブモバイルアプリ,コンビニ払いクレジットカード,神奈川県神奈川県,SPRING15FREESHIP,1598.4099999999999,201.57,0.0,1396.8400000000001,1396.8400000000001
4,C00005,2024-02-08,佐藤 陽翔,customer00005@example.jp,東京都,渋谷区,個人,店頭,ブロンズ,有,300～500万円,C00005,O000115O000222O000432,2025-05-272025-05-212025-04-13,配達完了発送済み処理中,モバイルアプリモバイルアプリモバイルアプリ,クレジットカードスマホ決済クレジットカード,東京都東京都東京都,,2291.3900000000003,0.0,0.0,2291.3900000000003,2291.3900000000003
5,C00006,2025-01-31,鈴木 結菜,customer00006@example.jp,愛知県,岡崎市,大企業,広告検索,シルバー,有,300万円未満,C00006,O000204O000221,2024-06-162024-01-19,配達完了配達完了,ウェブモール,クレジットカードクレジットカード,愛知県愛知県,VIP20,1143.9,154.71,0.0,989.19,989.19
6,C00007,2025-10-02,伊藤 さくら,customer00007@example.jp,千葉県,船橋市,個人,提携先,プラチナ,有,"1,200万円以上",C00007,O000420,2025-05-17,配達完了,ウェブ,銀行振込,千葉県,WELCOME10,378.26,37.83,0.0,340.43,340.43
7,C00008,2022-11-09,鈴木 蓮,customer00008@example.jp,神奈川県,川崎市,個人,自然検索,ゴールド,有,"800～1,200万円",,,,,,,,,,,,,
8,C00009,2023-04-02,佐藤 葵,customer00009@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,500～800万円,C00009,O000509O000637O000639,2025-10-072025-01-232025-07-05,返品済み配達完了配達完了,営業担当ウェブモバイルアプリ,クレジットカードクレジットカードクレジットカード,東京都東京都東京都,FREESHIPWELCOME10WELCOME10,3030.32,163.19,0.0,2867.13,2867.13
9,C00010,2022-04-11,佐藤 湊,customer00010@example.jp,福岡県,久留米市,個人,広告検索,ブロンズ,有,300～500万円,C00010,O000324O000657,2024-06-202025-09-29,発送済み配達完了,ウェブウェブ,銀行振込コンビニ払い,福岡県福岡県,FREESHIPWELCOME10,505.51,29.79,0.0,475.71999999999997,475.71999999999997
10,C00011,2024-12-22,佐藤 湊,customer00011@example.jp,北海道,札幌市,個人,自然検索,ブロンズ,有,300～500万円,C00011,O000234,2025-03-24,配達完了,モバイルアプリ,クレジットカード,北海道,,889.07,0.0,0.0,889.07,889.07
11,C00012,2025-06-06,高橋 樹,customer00012@example.jp,大阪府,吹田市,中小企業,店頭,ブロンズ,有,"1,200万円以上",C00012,O000093O000132O000349,2024-08-092025-01-012025-09-08,配達完了キャンセル配達完了,ウェブウェブモバイルアプリ,銀行振込コンビニ払いクレジットカード,大阪府大阪府大阪府,FREESHIP,2215.1899999999996,0.0,0.0,2215.1899999999996,2215.1899999999996
12,C00013,2023-09-10,鈴木 樹,customer00013@example.jp,千葉県,船橋市,大企業,自然検索,シルバー,有,300万円未満,C00013,O000451,2025-05-11,配達完了,モバイルアプリ,スマホ決済,千葉県,,511.25,0.0,0.0,511.25,511.25
13,C00014,2022-11-02,田中 大和,customer00014@example.jp,愛知県,豊田市,中小企業,SNS,ゴールド,有,"800～1,200万円",C00014,O000273O000425,2024-02-242025-10-16,配達完了配達完了,ウェブ営業担当,クレジットカードクレジットカード,愛知県愛知県,SPRING15B2B5,1042.58,74.22,0.0,968.36,968.3599999999999
14,C00015,2024-09-19,渡辺 さくら,customer00015@example.jp,東京都,新宿区,中小企業,SNS,ブロンズ,無,300万円未満,,,,,,,,,,,,,
15,C00016,2025-06-09,渡辺 陽葵,customer00016@example.jp,福岡県,福岡市,個人,紹介,ブロンズ,有,"800～1,200万円",,,,,,,,,,,,,
16,C00017,2023-07-20,山本 葵,customer00017@example.jp,千葉県,千葉市,個人,SNS,ブロンズ,無,300～500万円,,,,,,,,,,,,,
17,C00018,2023-08-29,田中 さくら,customer00018@example.jp,愛知県,岡崎市,個人,広告検索,プラチナ,有,300～500万円,C00018,O000388O000692O000698,2024-08-022025-01-182025-03-12,返品済み配達完了返品済み,ウェブウェブモバイルアプリ,クレジットカード銀行振込クレジットカード,愛知県愛知県愛知県,VIP20,2408.45,201.78,5.9,2212.57,2200.77
18,C00019,2024-03-27,山本 葵,customer00019@example.jp,東京都,渋谷区,中小企業,提携先,ゴールド,有,300～500万円,C00019,O000133O000227O000333,2024-07-182024-06-102025-06-13,配達完了処理中配達完了,ウェブウェブモール,クレジットカードクレジットカードクレジットカード,東京都東京都東京都,VIP20FREESHIP,2248.3999999999996,79.26,0.0,2169.14,2169.14
19,C00020,2023-02-10,渡辺 陽翔,customer00020@example.jp,東京都,新宿区,個人,自然検索,ゴールド,有,500～800万円,,,,,,,,,,,,,
20,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,C00021,O000205O000433O000459O000614O000634,2024-09-252025-08-252024-06-222024-03-222024-03-13,発送済みキャンセル配達完了発送済み配達完了,モバイルアプリ営業担当ウェブウェブウェブ,クレジットカードコンビニ払いクレジットカードコンビニ払いスマホ決済,愛知県愛知県愛知県愛知県愛知県,B2B5WELCOME10,2568.26,176.46,11.8,2403.6,2380.0
21,C00022,2025-05-02,佐藤 大和,customer00022@example.jp,福岡県,北九州市,中小企業,紹介,シルバー,有,300～500万円,C00022,O000121O000652,2025-06-052025-04-15,配達完了配達完了,モールモール,コンビニ払いクレジットカード,福岡県福岡県,VIP20,1551.8200000000002,85.94,0.0,1465.88,1465.88
22,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,C00023,O000039O000356O000399O000587O000625,2025-02-282024-09-032024-11-062025-04-252024-11-18,配達完了配達完了配達完了配達完了配達完了,モバイルアプリモバイルアプリウェブウェブ営業担当,クレジットカードコンビニ払いクレジットカードコンビニ払いクレジットカード,千葉県千葉県千葉県千葉県千葉県,SPRING15VIP20B2B5,3631.42,192.45,5.9,3444.87,3433.0699999999997
23,C00024,2023-02-02,渡辺 大和,customer00024@example.jp,福岡県,北九州市,個人,自然検索,シルバー,有,500～800万円,C00024,O000718,2025-10-06,配達完了,営業担当,スマホ決済,福岡県,SPRING15,1261.07,189.16,0.0,1071.91,1071.9099999999999
24,C00025,2024-07-17,山本 さくら,customer00025@example.jp,福岡県,福岡市,個人,紹介,シルバー,有,300～500万円,C00025,O000168O000275O000571,2024-04-142024-08-102024-10-14,配達完了配達完了配達完了,営業担当モバイルアプリモバイルアプリ,スマホ決済スマホ決済クレジットカード,福岡県福岡県福岡県,WELCOME10,2642.42,69.82,0.0,2572.6,2572.6000000000004
25,C00026,2025-12-19,佐藤 芽依,customer00026@example.jp,千葉県,柏市,個人,広告検索,ブロンズ,無,300～500万円,C00026,O000140,2024-12-26,配達完了,モバイルアプリ,コンビニ払い,千葉県,,1243.29,0.0,0.0,1243.29,1243.29
26,C00027,2025-07-12,渡辺 葵,customer00027@example.jp,大阪府,吹田市,個人,SNS,ブロンズ,有,300万円未満,C00027,O000022O000187O000462,2025-07-102025-01-092025-09-14,返品済み配達完了処理中,モバイルアプリウェブモール,スマホ決済クレジットカードクレジットカード,大阪府大阪府大阪府,FREESHIP,2568.6,0.0,0.0,2568.6,2568.6
27,C00028,2025-07-05,山本 大和,customer00028@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,500～800万円,C00028,O000250O000299O000436O000667,2025-03-072024-03-232024-11-102025-11-22,配達完了配達完了配達完了配達完了,ウェブウェブモバイルアプリウェブ,スマホ決済スマホ決済クレジットカードスマホ決済,千葉県千葉県千葉県千葉県,SPRING15SPRING15,4226.9400000000005,322.23,0.0,3904.71,3904.7100000000005
28,C00029,2024-04-08,田中 陽葵,customer00029@example.jp,福岡県,北九州市,中小企業,SNS,プラチナ,有,300万円未満,C00029,O000518,2025-09-30,処理中,モバイルアプリ,銀行振込,福岡県,,479.2,0.0,0.0,479.2,479.2
29,C00030,2023-03-29,渡辺 さくら,customer00030@example.jp,大阪府,吹田市,中小企業,自然検索,シルバー,有,"800～1,200万円",C00030,O000185O000392,2024-01-072025-05-19,配達完了配達完了,モバイルアプリウェブ,クレジットカードスマホ決済,大阪府大阪府,,2569.27,0.0,0.0,2569.27,2569.27
30,C00031,2025-05-27,鈴木 悠真,customer00031@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,C00031,O000114O000607O000695O000720,2024-12-062024-03-272025-07-082025-10-29,配達完了配達完了配達完了配達完了,ウェブウェブウェブモバイルアプリ,クレジットカードクレジットカード銀行振込スマホ決済,東京都東京都東京都東京都,SPRING15,3204.26,206.84,0.0,2997.42,2997.42
31,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,C00032,O000068O000214O000366O000562O000644O000702,2025-05-202025-06-072025-09-022025-04-292025-10-222025-10-27,配達完了配達完了配達完了配達完了配達完了配達完了,モールウェブウェブウェブモバイルアプリモバイルアプリ,銀行振込クレジットカード銀行振込銀行振込コンビニ払いクレジットカード,北海道北海道北海道北海道北海道北海道,FREESHIP,4851.08,0.0,0.0,4851.08,4851.08
32,C00033,2023-03-07,鈴木 悠真,customer00033@example.jp,東京都,世田谷区,個人,広告検索,シルバー,無,500～800万円,,,,,,,,,,,,,
33,C00034,2023-06-21,渡辺 蓮,customer00034@example.jp,千葉県,柏市,個人,自然検索,ブロンズ,有,"800～1,200万円",C00034,O000201,2024-08-19,配達完了,モバイルアプリ,クレジットカード,千葉県,,761.01,0.0,0.0,761.01,761.01
34,C00035,2023-09-23,高橋 陽翔,customer00035@example.jp,北海道,函館市,個人,広告検索,ブロンズ,有,500～800万円,C00035,O000334,2025-06-15,配達完了,ウェブ,クレジットカード,北海道,,43.37,0.0,5.9,49.27,37.47
35,C00036,2024-03-15,佐藤 葵,customer00036@example.jp,福岡県,北九州市,中小企業,広告検索,ブロンズ,有,500～800万円,,,,,,,,,,,,,
36,C00037,2022-01-14,高橋 凛,customer00037@example.jp,神奈川県,川崎市,個人,広告検索,ゴールド,無,300万円未満,,,,,,,,,,,,,
37,C00038,2022-06-10,田中 陽葵,customer00038@example.jp,東京都,新宿区,個人,自然検索,シルバー,有,"1,200万円以上",C00038,O000029,2024-07-03,配達完了,モバイルアプリ,スマホ決済,東京都,,642.35,0.0,0.0,642.35,642.35
38,C00039,2024-04-27,鈴木 蓮,customer00039@example.jp,千葉県,柏市,個人,紹介,ブロンズ,有,"800～1,200万円",C00039,O000044O000673,2024-04-102025-12-12,発送済み配達完了,ウェブウェブ,銀行振込スマホ決済,千葉県千葉県,VIP20,1299.53,225.49,0.0,1074.04,1074.04
39,C00040,2025-02-17,渡辺 凛,customer00040@example.jp,東京都,千代田区,中小企業,紹介,ブロンズ,有,500～800万円,C00040,O000591,2024-06-04,配達完了,ウェブ,クレジットカード,東京都,,1421.34,0.0,0.0,1421.34,1421.34
40,C00041,2024-04-04,鈴木 芽依,customer00041@example.jp,愛知県,名古屋市,中小企業,SNS,シルバー,有,300～500万円,C00041,O000685,2025-07-13,配達完了,ウェブ,クレジットカード,愛知県,WELCOME10,114.72,11.47,5.9,109.15,97.35
41,C00042,2024-03-17,渡辺 葵,customer00042@example.jp,愛知県,岡崎市,中小企業,SNS,ブロンズ,有,500～800万円,,,,,,,,,,,,,
42,C00043,2022-12-27,佐藤 樹,customer00043@example.jp,東京都,渋谷区,中小企業,自然検索,ブロンズ,無,"800～1,200万円",,,,,,,,,,,,,
43,C00044,2025-07-22,田中 さくら,customer00044@example.jp,東京都,世田谷区,個人,広告検索,シルバー,無,500～800万円,,,,,,,,,,,,,
44,C00045,2023-11-29,佐藤 大和,customer00045@example.jp,神奈川県,川崎市,個人,自然検索,ゴールド,無,500～800万円,,,,,,,,,,,,,
45,C00046,2023-04-04,佐藤 悠真,customer00046@example.jp,福岡県,北九州市,個人,広告検索,ブロンズ,有,300万円未満,,,,,,,,,,,,,
46,C00047,2025-06-10,田中 凛,customer00047@example.jp,福岡県,福岡市,大企業,店頭,シルバー,有,300～500万円,C00047,O000070O000280O000304O000683,2025-08-092024-10-112025-06-152024-12-29,配達完了キャンセル配達完了配達完了,ウェブウェブウェブモバイルアプリ,銀行振込スマホ決済クレジットカード銀行振込,福岡県福岡県福岡県福岡県,VIP20FREESHIP,2688.56,132.53,0.0,2556.0299999999997,2556.0299999999997
