,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,注文ID,顧客ID(注文),注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額
0,C00001,2022-07-30,鈴木 葵,customer00001@example.jp,北海道,函館市,個人,広告検索,ブロンズ,有,500～800万円,O000052,C00001,2025-10-25,発送済み,ウェブ,請求書払い,北海道,,524.44,0.0,0.0,524.44
1,C00002,2025-01-20,渡辺 悠真,customer00002@example.jp,北海道,旭川市,個人,SNS,ブロンズ,有,"800～1,200万円",O000014,C00002,2024-11-13,配達完了,モバイルアプリ,スマホ決済,北海道,FREESHIP,750.09,0.0,0.0,750.09
2,C00002,2025-01-20,渡辺 悠真,customer00002@example.jp,北海道,旭川市,個人,SNS,ブロンズ,有,"800～1,200万円",O000077,C00002,2025-11-01,配達完了,ウェブ,銀行振込,北海道,,840.09,0.0,0.0,840.09
3,C00002,2025-01-20,渡辺 悠真,customer00002@example.jp,北海道,旭川市,個人,SNS,ブロンズ,有,"800～1,200万円",O000155,C00002,2025-04-06,配達完了,モバイルアプリ,クレジットカード,北海道,WELCOME10,145.55,14.56,5.9,136.89
4,C00002,2025-01-20,渡辺 悠真,customer00002@example.jp,北海道,旭川市,個人,SNS,ブロンズ,有,"800～1,200万円",O000624,C00002,2024-03-12,発送済み,ウェブ,クレジットカード,北海道,FREESHIP,1078.59,0.0,0.0,1078.59
5,C00003,2023-03-08,中村 陽翔,customer00003@example.jp,神奈川県,横浜市,個人,広告検索,シルバー,無,"800～1,200万円",,,,,,,,,,,,
6,C00004,2025-10-09,山本 葵,customer00004@example.jp,神奈川県,藤沢市,個人,広告検索,ブロンズ,有,300万円未満,O000069,C00004,2025-01-10,配達完了,ウェブ,コンビニ払い,神奈川県,SPRING15,1343.78,201.57,0.0,1142.21
7,C00004,2025-10-09,山本 葵,customer00004@example.jp,神奈川県,藤沢市,個人,広告検索,ブロンズ,有,300万円未満,O000537,C00004,2025-02-26,配達完了,モバイルアプリ,クレジットカード,神奈川県,FREESHIP,254.63,0.0,0.0,254.63
8,C00005,2024-02-08,佐藤 陽翔,customer00005@example.jp,東京都,渋谷区,個人,店頭,ブロンズ,有,300～500万円,O000115,C00005,2025-05-27,配達完了,モバイルアプリ,クレジットカード,東京都,,1161.72,0.0,0.0,1161.72
9,C00005,2024-02-08,佐藤 陽翔,customer00005@example.jp,東京都,渋谷区,個人,店頭,ブロンズ,有,300～500万円,O000222,C00005,2025-05-21,発送済み,モバイルアプリ,スマホ決済,東京都,,470.73,0.0,0.0,470.73
10,C00005,2024-02-08,佐藤 陽翔,customer00005@example.jp,東京都,渋谷区,個人,店頭,ブロンズ,有,300～500万円,O000432,C00005,2025-04-13,処理中,モバイルアプリ,クレジットカード,東京都,,658.94,0.0,0.0,658.94
11,C00006,2025-01-31,鈴木 結菜,customer00006@example.jp,愛知県,岡崎市,大企業,広告検索,シルバー,有,300万円未満,O000204,C00006,2024-06-16,配達完了,ウェブ,クレジットカード,愛知県,VIP20,773.57,154.71,0.0,618.86
12,C00006,2025-01-31,鈴木 結菜,customer00006@example.jp,愛知県,岡崎市,大企業,広告検索,シルバー,有,300万円未満,O000221,C00006,2024-01-19,配達完了,モール,クレジットカード,愛知県,,370.33,0.0,0.0,370.33
13,C00007,2025-10-02,伊藤 さくら,customer00007@example.jp,千葉県,船橋市,個人,提携先,プラチナ,有,"1,200万円以上",O000420,C00007,2025-05-17,配達完了,ウェブ,銀行振込,千葉県,WELCOME10,378.26,37.83,0.0,340.43
14,C00008,2022-11-09,鈴木 蓮,customer00008@example.jp,神奈川県,川崎市,個人,自然検索,ゴールド,有,"800～1,200万円",,,,,,,,,,,,
15,C00009,2023-04-02,佐藤 葵,customer00009@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,500～800万円,O000509,C00009,2025-10-07,返品済み,営業担当,クレジットカード,東京都,FREESHIP,1398.41,0.0,0.0,1398.41
16,C00009,2023-04-02,佐藤 葵,customer00009@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,500～800万円,O000637,C00009,2025-01-23,配達完了,ウェブ,クレジットカード,東京都,WELCOME10,229.71,22.97,0.0,206.74
17,C00009,2023-04-02,佐藤 葵,customer00009@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,500～800万円,O000639,C00009,2025-07-05,配達完了,モバイルアプリ,クレジットカード,東京都,WELCOME10,1402.2,140.22,0.0,1261.98
18,C00010,2022-04-11,佐藤 湊,customer00010@example.jp,福岡県,久留米市,個人,広告検索,ブロンズ,有,300～500万円,O000324,C00010,2024-06-20,発送済み,ウェブ,銀行振込,福岡県,FREESHIP,207.64,0.0,0.0,207.64
19,C00010,2022-04-11,佐藤 湊,customer00010@example.jp,福岡県,久留米市,個人,広告検索,ブロンズ,有,300～500万円,O000657,C00010,2025-09-29,配達完了,ウェブ,コンビニ払い,福岡県,WELCOME10,297.87,29.79,0.0,268.08
20,C00011,2024-12-22,佐藤 湊,customer00011@example.jp,北海道,札幌市,個人,自然検索,ブロンズ,有,300～500万円,O000234,C00011,2025-03-24,配達完了,モバイルアプリ,クレジットカード,北海道,,889.07,0.0,0.0,889.07
21,C00012,2025-06-06,高橋 樹,customer00012@example.jp,大阪府,吹田市,中小企業,店頭,ブロンズ,有,"1,200万円以上",O000093,C00012,2024-08-09,配達完了,ウェブ,銀行振込,大阪府,,532.18,0.0,0.0,532.18
22,C00012,2025-06-06,高橋 樹,customer00012@example.jp,大阪府,吹田市,中小企業,店頭,ブロンズ,有,"1,200万円以上",O000132,C00012,2025-01-01,キャンセル,ウェブ,コンビニ払い,大阪府,,248.69,0.0,0.0,248.69
23,C00012,2025-06-06,高橋 樹,customer00012@example.jp,大阪府,吹田市,中小企業,店頭,ブロンズ,有,"1,200万円以上",O000349,C00012,2025-09-08,配達完了,モバイルアプリ,クレジットカード,大阪府,FREESHIP,1434.32,0.0,0.0,1434.32
24,C00013,2023-09-10,鈴木 樹,customer00013@example.jp,千葉県,船橋市,大企業,自然検索,シルバー,有,300万円未満,O000451,C00013,2025-05-11,配達完了,モバイルアプリ,スマホ決済,千葉県,,511.25,0.0,0.0,511.25
25,C00014,2022-11-02,田中 大和,customer00014@example.jp,愛知県,豊田市,中小企業,SNS,ゴールド,有,"800～1,200万円",O000273,C00014,2024-02-24,配達完了,ウェブ,クレジットカード,愛知県,SPRING15,220.92,33.14,0.0,187.78
26,C00014,2022-11-02,田中 大和,customer00014@example.jp,愛知県,豊田市,中小企業,SNS,ゴールド,有,"800～1,200万円",O000425,C00014,2025-10-16,配達完了,営業担当,クレジットカード,愛知県,B2B5,821.66,41.08,0.0,780.58
27,C00015,2024-09-19,渡辺 さくら,customer00015@example.jp,東京都,新宿区,中小企業,SNS,ブロンズ,無,300万円未満,,,,,,,,,,,,
28,C00016,2025-06-09,渡辺 陽葵,customer00016@example.jp,福岡県,福岡市,個人,紹介,ブロンズ,有,"800～1,200万円",,,,,,,,,,,,
29,C00017,2023-07-20,山本 葵,customer00017@example.jp,千葉県,千葉市,個人,SNS,ブロンズ,無,300～500万円,,,,,,,,,,,,
30,C00018,2023-08-29,田中 さくら,customer00018@example.jp,愛知県,岡崎市,個人,広告検索,プラチナ,有,300～500万円,O000388,C00018,2024-08-02,返品済み,ウェブ,クレジットカード,愛知県,,141.85,0.0,5.9,147.75
31,C00018,2023-08-29,田中 さくら,customer00018@example.jp,愛知県,岡崎市,個人,広告検索,プラチナ,有,300～500万円,O000692,C00018,2025-01-18,配達完了,ウェブ,銀行振込,愛知県,,1257.68,0.0,0.0,1257.68
32,C00018,2023-08-29,田中 さくら,customer00018@example.jp,愛知県,岡崎市,個人,広告検索,プラチナ,有,300～500万円,O000698,C00018,2025-03-12,返品済み,モバイルアプリ,クレジットカード,愛知県,VIP20,1008.92,201.78,0.0,807.14
33,C00019,2024-03-27,山本 葵,customer00019@example.jp,東京都,渋谷区,中小企業,提携先,ゴールド,有,300～500万円,O000133,C00019,2024-07-18,配達完了,ウェブ,クレジットカード,東京都,,1161.83,0.0,0.0,1161.83
34,C00019,2024-03-27,山本 葵,customer00019@example.jp,東京都,渋谷区,中小企業,提携先,ゴールド,有,300～500万円,O000227,C00019,2024-06-10,処理中,ウェブ,クレジットカード,東京都,VIP20,396.29,79.26,0.0,317.03
35,C00019,2024-03-27,山本 葵,customer00019@example.jp,東京都,渋谷区,中小企業,提携先,ゴールド,有,300～500万円,O000333,C00019,2025-06-13,配達完了,モール,クレジットカード,東京都,FREESHIP,690.28,0.0,0.0,690.28
36,C00020,2023-02-10,渡辺 陽翔,customer00020@example.jp,東京都,新宿区,個人,自然検索,ゴールド,有,500～800万円,,,,,,,,,,,,
37,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,O000205,C00021,2024-09-25,発送済み,モバイルアプリ,クレジットカード,愛知県,,44.09,0.0,5.9,49.99
38,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,O000433,C00021,2025-08-25,キャンセル,営業担当,コンビニ払い,愛知県,,91.93,0.0,5.9,97.83
39,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,O000459,C00021,2024-06-22,配達完了,ウェブ,クレジットカード,愛知県,B2B5,873.09,43.65,0.0,829.44
40,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,O000614,C00021,2024-03-22,発送済み,ウェブ,コンビニ払い,愛知県,WELCOME10,1328.06,132.81,0.0,1195.25
41,C00021,2024-04-09,中村 さくら,customer00021@example.jp,愛知県,名古屋市,個人,自然検索,シルバー,有,300万円未満,O000634,C00021,2024-03-13,配達完了,ウェブ,スマホ決済,愛知県,,231.09,0.0,0.0,231.09
42,C00022,2025-05-02,佐藤 大和,customer00022@example.jp,福岡県,北九州市,中小企業,紹介,シルバー,有,300～500万円,O000121,C00022,2025-06-05,配達完了,モール,コンビニ払い,福岡県,VIP20,429.69,85.94,0.0,343.75
